feature,missing_rate,mean,std,target_separation_q75_minus_q25,pearson_corr,corr_2022,corr_2023,corr_2024
asof_pitcher_success_rate,0.0005369156635653912,0.5352282202778268,0.06175732628213938,0.10992675222267728,0.08427136264423501,0.09859303748089449,0.05271359040607546,0.05760061482362819
asof_pitcher_prev5_game_success_rate,0.019785206617621138,0.5244111593601802,0.0807882314030833,0.10189467459855278,0.08156931730369739,0.09075147025473115,0.055140466829646344,0.057436537244540106
asof_pitcher_prev3_game_success_rate,0.019785206617621138,0.523847505939317,0.09172288950243179,0.09815906960647042,0.07777597856830884,0.08847470043443915,0.05080782214627339,0.050750082302531085
asof_pitcher_prev1_game_success_rate,0.019785206617621138,0.5233543069768664,0.13588596746628226,0.08259118995197928,0.061688667365711526,0.07703806269186575,0.040489471535509504,0.036522677526352305
asof_batter_success_rate,0.0005626767686354478,0.5397311017763464,0.051608333235122324,0.06842561021904203,0.05894622108356782,0.08925356539472584,0.0003194494186255738,0.006746392860214403
asof_pitcher_offspeed_rate,0.0005369156635653912,0.15634225000241336,0.10847192474602792,0.021832241637701366,0.013798412401605986,-0.004447031606907857,0.019403642005730925,0.028286853044979295
asof_pitcher_strike_rate,0.0005369156635653912,0.44187568922315673,0.039616994392204674,0.010052712835072586,0.003929752663154019,-0.023918383364276243,0.03537130040637037,0.030031584014820856
asof_pitcher_fastball_rate,0.0005369156635653912,0.5543834851488841,0.099117750189932,-0.005309785371812037,-0.00021805270751027874,0.018688836422973955,-0.008205426493138261,-0.011175180478767284
asof_pitcher_n,0.0,2661.3230401900355,2690.0125733697887,-0.0201184694776253,-0.0116132737856109,-0.020758137911950744,0.026866477976660877,0.025440085568385916
asof_pitcher_pitchmix_n,0.0,2661.3230401900355,2690.0125733697887,-0.0201184694776253,-0.0116132737856109,-0.020758137911950744,0.026866477976660877,0.025440085568385916
asof_pitcher_breaking_rate,0.0005369156635653912,0.2892742630866174,0.1083220590018154,-0.020176386430273197,-0.013617981607428305,-0.013030203034248547,-0.012311004855675356,-0.017239288495019364
asof_pitcher_prev1_game_middle_rate,0.019785206617621138,0.15060582464190297,0.09241721065003658,-0.02561329466886586,-0.01945981475687614,-0.01389115242645653,-0.01155008785133171,-0.01203935751535461
asof_pitcher_ball_rate,0.0005369156635653912,0.37224288439137215,0.04183632863140424,-0.02979708487829158,-0.017734502349016,0.01425244779381448,-0.04739117812700421,-0.04128684635385112
asof_pitcher_prev3_game_middle_rate,0.019785206617621138,0.14939043487541037,0.05620126862373759,-0.036512552161915623,-0.028295680695774855,-0.012993753220726757,-0.0075658080917927655,-0.015480154963439496
asof_pitcher_prev5_game_middle_rate,0.019785206617621138,0.14889194615302367,0.04755480497185086,-0.042323324187601874,-0.03195211988661344,-0.014955038645699007,-0.008461173959659906,-0.016338794019038705
asof_pitcher_middle_rate,0.0005369156635653912,0.1418648379080716,0.03176858411582099,-0.04954838524931038,-0.03607458477989917,-0.037832388911218165,-0.006822329907040309,-0.012939881160142863
asof_batter_middle_rate,0.0005626767686354478,0.1405063432503653,0.027179997748147028,-0.04986594290228352,-0.03382127251508375,-0.03964807598221619,0.006085675087664766,-0.007766577414267881
asof_batter_n,0.0,3270.8473966369556,3049.0419219753862,-0.05370965646772613,-0.036275753040484554,-0.05401453483942115,0.00656701589932415,0.007118752840103298
asof_pitcher_reverse_rate,0.0005369156635653912,0.21520992382300075,0.06066783555839905,-0.10384609918048632,-0.07949308275658847,-0.09462315719135406,-0.04993443932794194,-0.05451979387162298
