valid_year,analysis,group,n,actual_rate,prediction_mean,deviation_abs_mean
2024,direction,low,141614,0.4787521007809962,0.47956834794827263,0.008173707756249995
2024,direction,high,111893,0.4954107942409266,0.49808686235188737,0.010344806647364714
2024,direction,high_minus_low,253507,0.016658693459930374,0.01851851440361474,
2024,deviation_abs_quantile,q1,50702,0.49867855311427556,0.4877469223075241,0.0008578273069935363
2024,deviation_abs_quantile,q2,50701,0.4929094100708073,0.48700541352254906,0.0031074474654076956
2024,deviation_abs_quantile,q3,50701,0.4878799234729098,0.48636733808284716,0.006486176751802878
2024,deviation_abs_quantile,q4,50701,0.4793199345180568,0.48601475339477995,0.011176109583163238
2024,deviation_abs_quantile,q5,50702,0.47173681511577453,0.4915757755046429,0.024032248567220773
2024,signed_prediction_quantile,q1,25351,0.4587984694883831,0.4678175895422578,0.01992446616226488
2024,signed_prediction_quantile,q2,25351,0.4682261054790738,0.4760497803402655,0.011692275364257085
2024,signed_prediction_quantile,q3,25350,0.4816568047337278,0.48039087617774945,0.007351179526773204
2024,signed_prediction_quantile,q4,25351,0.4893298094749714,0.48338257644908483,0.004359479255437874
2024,signed_prediction_quantile,q5,25351,0.48585854601396394,0.485708160751736,0.002033894952786668
2024,signed_prediction_quantile,q6,25350,0.49696252465483237,0.48758166105030987,0.0004364183791858047
2024,signed_prediction_quantile,q7,25351,0.5085795432132855,0.4893798338045243,0.0016377781000017023
2024,signed_prediction_quantile,q8,25350,0.49633136094674557,0.49295322003771447,0.005211164333191815
2024,signed_prediction_quantile,q9,25351,0.4896453788805175,0.4982778540125797,0.010535798308056994
2024,signed_prediction_quantile,q10,25351,0.4856613151354976,0.5158789141366334,0.028136858432110712
