feature,missing_rate,unique_count,mean,std,min,max,target_corr,alpha,valid_year
hs_pitcher_n,0.0,290,2460.622802734375,2343.332275390625,0.0,8670.0,-0.018478377547150135,20,2022
hs_pitcher_rate,0.0,302,0.5417891144752502,0.05313333496451378,0.3797743022441864,0.7706491947174072,0.07233829389147177,20,2022
hs_pitcher_rel,0.0,302,-0.0013532593147829175,0.05313333496451378,-0.16336804628372192,0.2275068461894989,0.07233829248111151,20,2022
hs_pitcher_logit_rel,0.0,302,-0.002466733567416668,0.22165702283382416,-0.6635059118270874,1.0389809608459473,0.07153505836841591,20,2022
hs_pitcher_game_type_n,0.0,334,2327.22607421875,2366.143310546875,0.0,8670.0,-0.025163982554907333,20,2022
hs_pitcher_game_type_rate,0.0,383,0.5364023447036743,0.058445367962121964,0.3620778024196625,0.7960579991340637,0.12047673389026542,20,2022
hs_pitcher_game_type_rel,0.0,383,-0.006740011740475893,0.058445367962121964,-0.18106454610824585,0.2529156506061554,0.12047673280483223,20,2022
hs_pitcher_game_type_logit_rel,0.0,383,-0.02393294684588909,0.24343590438365936,-0.7393568158149719,1.1888368129730225,0.12060632786874749,20,2022
hs_pitcher_batter_hand_n,0.0,501,1242.2786865234375,1201.0301513671875,0.0,5135.0,-0.016391576201269187,20,2022
hs_pitcher_batter_hand_rate,0.0,594,0.5404262542724609,0.055630162358284,0.37214264273643494,0.7532985806465149,0.0748952651990035,20,2022
hs_pitcher_batter_hand_rel,0.0,594,-0.002716129645705223,0.055630162358284,-0.1709997057914734,0.21015626192092896,0.07489526293751195,20,2022
hs_pitcher_batter_hand_logit_rel,0.0,594,-0.00818825513124466,0.230680912733078,-0.6960353255271912,0.9432834386825562,0.07441865589764031,20,2022
hs_pitcher_count_n,0.0,615,324.1838684082031,413.3515930175781,0.0,2263.0,-0.008438297415699198,20,2022
hs_pitcher_count_rate,0.0,2273,0.5399147868156433,0.050809960812330246,0.3316400945186615,0.7665932178497314,0.06513588968509428,20,2022
hs_pitcher_count_rel,0.0,2273,-0.003227583598345518,0.050809960812330246,-0.21150226891040802,0.22345085442066193,0.06513588626654515,20,2022
hs_pitcher_count_logit_rel,0.0,2273,-0.010955343022942543,0.20873241126537323,-0.8737761378288269,1.0161739587783813,0.06510012877480764,20,2022
hs_batter_n,0.0,288,3106.579833984375,2437.2021484375,0.0,6914.0,-0.049418292517017716,20,2022
hs_batter_rate,0.0,315,0.5491000413894653,0.04631831496953964,0.40809932351112366,0.7546519041061401,0.061719017223126844,20,2022
hs_batter_rel,0.0,315,0.005957706365734339,0.04631831496953964,-0.13504301011562347,0.21150952577590942,0.06171901519179728,20,2022
hs_batter_logit_rel,0.0,315,0.02707516960799694,0.19528403878211975,-0.5448278188705444,0.9505788683891296,0.061617834670696,20,2022
