season,mean,std,target_definition,year_to_year_mean_drift
2019,0.5646700054335694,0.49580119584682414,A_ORIGINAL,
2020,0.5327116970588356,0.4989298194343267,A_ORIGINAL,-0.03195830837473379
2021,0.5327616072006734,0.49892653220597893,A_ORIGINAL,4.991014183786113e-05
2022,0.5289204435249241,0.49916391574906926,A_ORIGINAL,-0.0038411636757493817
2023,0.49995723449750534,0.5000010164004706,A_ORIGINAL,-0.028963209027418724
2024,0.4861049201797189,0.49980787525321085,A_ORIGINAL,-0.01385231431778644
2019,-4.2009866947977125e-17,0.4958032842046027,B_SEASON_CENTERED,
2020,-3.301281392589276e-17,0.4989318635082167,B_SEASON_CENTERED,8.997053022084367e-18
2021,8.74337476372018e-18,0.49892855144023057,B_SEASON_CENTERED,4.175618868961294e-17
2022,-1.6314274055446198e-17,0.4991659328093133,B_SEASON_CENTERED,-2.505764881916638e-17
2023,2.3375615215557467e-17,0.5000030528654056,B_SEASON_CENTERED,3.9689889271003665e-17
2024,7.800250995672176e-18,0.4998098468352468,B_SEASON_CENTERED,-1.557536421988529e-17
2019,-2.2162599532683067e-06,2.0169550199551063,C_LOGIT_RESIDUAL,
2020,-1.076754380174222e-06,2.0043064682848115,C_LOGIT_RESIDUAL,1.1395055730940847e-06
2021,-1.0653134301729648e-06,2.00431947310867,C_LOGIT_RESIDUAL,1.1440950001257321e-08
2022,-9.380577027712702e-07,2.003366238013352,C_LOGIT_RESIDUAL,1.2725572740169452e-07
2023,1.393455826114953e-09,2.0000122261262407,C_LOGIT_RESIDUAL,9.394511585973852e-07
2024,4.388355009094332e-07,2.0007846036430124,C_LOGIT_RESIDUAL,4.374420450833182e-07
