feature_name,missing_rate,pitcher_cutoff_coverage,median,iqr,p01,p99,extreme_value_count,stability_score
tm_rel_height_longterm_mean,0.0,3069,1.7636667908496733,0.1510081590107124,0.8115397128260087,2.019490873015873,206,0.8688035720437435
tm_extension_longterm_mean,0.0,3069,1.770612888888889,0.1649986537418655,1.4707014576505508,2.07775025682183,0,0.8583700906332334
tm_rel_height_recent2_minus_longterm,0.26881720430107525,2244,0.0,0.010180334496620258,-0.07573184845198154,0.09264795550940677,248,0.7238141257850541
tm_rel_side_recent2_minus_longterm,0.26881720430107525,2244,0.0,0.021151300388348518,-0.15993395548018066,0.163555119954428,274,0.7160376678958863
tm_extension_recent2_minus_longterm,0.26881720430107525,2244,0.0,0.045027446847529407,-0.16566390011797577,0.0448260214264748,18,0.6996780782214279
tm_rel_height_slope,0.3385467579015966,2030,0.003100587725078617,0.035534225974566666,-0.12993018099547524,0.1536045804310418,58,0.6387555577662279
tm_rel_height_recent2_mean,0.26881720430107525,2244,1.7599592000498059,0.1551198519339485,0.7657644768206852,1.9906519331983807,135,0.6329930132139525
tm_extension_slope,0.3385467579015966,2030,-0.027854820030503075,0.05654786277416797,-0.19183598616692416,0.10679189225589214,12,0.6260513748630674
tm_extension_recent2_mean,0.26881720430107525,2244,1.7374298134523563,0.17641245497163083,1.4406308293290224,2.0620643715840465,0,0.6215360884771975
tm_rel_side_slope,0.3385467579015966,2030,0.0015197560720296133,0.07390370391340462,-0.26336126661270065,0.20137327133770075,31,0.6159334767987172
tm_rel_height_recent1_minus_longterm,0.4252199413489736,1764,0.0,0.024261904910155563,-0.0984089015132494,0.12424521345901497,66,0.5611651237790045
tm_rel_height_drift_relative_league,0.4252199413489736,1764,0.002379454304592299,0.02497394366751826,-0.09562003273150474,0.1280320960077245,66,0.5607752881935445
tm_rel_height_pitch_type_adjusted_drift,0.4252199413489736,1764,0.0,0.027412699989597465,-0.11347146778491621,0.0989438703577095,42,0.5594441830988133
tm_rel_height_abs_drift,0.4252199413489736,1764,0.012291681986648983,0.028230639262602775,0.0,0.17403415331390554,34,0.5589991551537803
tm_rel_side_longterm_mean,0.0,3069,0.4382502705035971,0.8306800411846115,-0.8722458668103165,1.072179806834094,0,0.5462450988174383
