from_year,to_year,column,paired_pitcher_count,raw_change_std,within_pitch_type_change_std,raw_vs_within_type_corr,median_abs_within_type_to_raw_ratio,pitch_mix_confounding_risk
2019,2020,rel_height,290,0.06004002046003482,0.058702911215305846,0.9959927819227471,0.9949623166584938,MODERATE
2019,2020,rel_side,290,0.1182968605757597,0.1167826254484339,0.9982703954130392,0.9947722059586686,MODERATE
2019,2020,extension,290,0.058313087930810935,0.05892566676824389,0.9756399658073747,0.998373683133158,MODERATE
2019,2020,rel_speed,290,2.6163595639081647,2.2946516877073506,0.8316010193251396,0.9005955149406126,MODERATE
2019,2020,spin_rate,290,88.38563750125394,69.63784847972113,0.7865663477395609,0.8657578669723069,MODERATE
2019,2020,induced_vert_break,290,6.18060422391693,4.657596075220772,0.7487359657135936,0.786049999049762,MODERATE
2019,2020,horz_break,290,6.086041311051225,4.520336785076085,0.7434256740721155,0.7604457690980808,MODERATE
2020,2021,rel_height,313,0.057368916995078074,0.05733917608434254,0.9967013402266255,0.9965648369497667,MODERATE
2020,2021,rel_side,313,0.11474104474530826,0.11366115083192432,0.9988342049520385,0.991375148601664,MODERATE
2020,2021,extension,313,0.054978714597357904,0.053936085401204814,0.9828742315352397,0.9859052306251668,MODERATE
2020,2021,rel_speed,313,2.3387808208903804,2.1448862073949577,0.8115260720222967,0.8876347843229694,MODERATE
2020,2021,spin_rate,313,88.08529519062657,66.61740310054591,0.8170955291886429,0.8006043855146304,MODERATE
2020,2021,induced_vert_break,313,5.454396972767272,4.193905401451857,0.7569700075409482,0.8485486225838028,MODERATE
2020,2021,horz_break,313,5.574829209051881,4.307739176506596,0.7903191665541354,0.7579064824069484,MODERATE
2021,2022,rel_height,298,0.06160458827544596,0.05996839730889075,0.990200072106964,0.9906078214518822,MODERATE
2021,2022,rel_side,298,0.1358879116191145,0.12879042886378125,0.993006285056204,0.9918771707375419,MODERATE
2021,2022,extension,298,0.057004160656610924,0.056665831157542194,0.9676125941660632,0.9572954376371656,MODERATE
2021,2022,rel_speed,298,2.6495554037554587,2.2482173603085673,0.7649116278964174,1.0269742259254495,MODERATE
2021,2022,spin_rate,298,81.42835129924889,67.6419135415155,0.6630661474688269,0.8064347542044996,MODERATE
2021,2022,induced_vert_break,298,6.095829333195155,5.333705687193648,0.7003673010431039,0.7271612993503366,MODERATE
2021,2022,horz_break,298,6.17779541888897,4.783496943264966,0.6898942058499311,0.7644252806651983,MODERATE
2022,2023,rel_height,328,0.06516682645976793,0.06297817936415528,0.9941520588435426,0.9854323205972708,MODERATE
2022,2023,rel_side,328,0.11796971744350469,0.11544993964502749,0.9976735512936613,0.9877503986337228,MODERATE
2022,2023,extension,328,0.049482987121769635,0.04733419765288465,0.9705421308313494,0.9775088325031673,MODERATE
2022,2023,rel_speed,328,2.686070696685806,2.031111087865087,0.8586516479934159,0.7959573238439087,MODERATE
2022,2023,spin_rate,328,84.63613923218202,63.08898599532425,0.7880357934030433,0.8214133269867181,MODERATE
2022,2023,induced_vert_break,328,5.199369037521304,3.9996010082466644,0.7652156617590986,0.7420802747798128,MODERATE
2022,2023,horz_break,328,5.5487914429204315,3.589532699440961,0.7203367756688148,0.7062763830626335,MODERATE
2023,2024,rel_height,316,0.05684669563149424,0.0554715760781758,0.9971112196550798,0.9955583153633166,MODERATE
2023,2024,rel_side,316,0.11685037077811573,0.11540503526218063,0.9987905461120352,0.9893294999791609,MODERATE
2023,2024,extension,316,0.05371359959000047,0.0529771856638311,0.9748274177432121,0.9717390176731566,MODERATE
2023,2024,rel_speed,316,2.511004925616811,2.0006728638876425,0.8287688932574374,0.7838213756604465,MODERATE
2023,2024,spin_rate,316,92.64758960938184,66.27319942355972,0.8019253641154718,0.7679996465222398,MODERATE
2023,2024,induced_vert_break,316,5.549030010240223,3.91204936840412,0.7317926406586912,0.6973708005988586,MODERATE
2023,2024,horz_break,316,5.532371707859315,3.844723904789321,0.7170158632949853,0.6028704992993037,HIGH
