season,column,row_count,missing_rate,mean,std,median
2019,rel_height,255957,0.004469500736451826,1.705211609858995,0.26299450683594705,1.76582
2020,rel_height,279126,0.0039623682494644,1.6996589017743327,0.25485892478176414,1.76143
2021,rel_height,301032,0.005129022828137872,1.713319410650844,0.24827009869026082,1.77078
2022,rel_height,307637,0.004420794637836151,1.7000417991001608,0.25385917877148817,1.76274
2023,rel_height,315100,0.0031862900666455095,1.6946081338730836,0.2559065663144436,1.75911
2024,rel_height,334226,0.004365309700621735,1.7063289017270342,0.22558498424051895,1.74966
2019,rel_side,255957,0.004469500736451826,0.25355903879238734,0.5383064877501912,0.444397
2020,rel_side,279126,0.0039623682494644,0.28601889107460615,0.507888599143993,0.436971
2021,rel_side,301032,0.005129022828137872,0.2691290947152474,0.5473906505851547,0.4353975
2022,rel_side,307637,0.004424045222128678,0.2793208139521216,0.5317354566911289,0.4311775
2023,rel_side,315100,0.0031862900666455095,0.25399342129157965,0.5290464848912225,0.41432650000000004
2024,rel_side,334226,0.004365309700621735,0.24295673986603245,0.5350275027753058,0.425808
2019,extension,255957,0.004469500736451826,1.8034724687476698,0.1505537878177313,1.80693
2020,extension,279126,0.0039623682494644,1.8353868606035537,0.1510949475302964,1.8344
2021,extension,301032,0.005129022828137872,1.8483018049604658,0.1518791089658565,1.84745
2022,extension,307637,0.0045280639194895285,1.7028526042632672,0.15215633778984683,1.70294
2023,extension,315100,0.0033037131069501746,1.6950129213810143,0.1550502494748108,1.69447
2024,extension,334226,0.004452077336891804,1.69350125521281,0.15389333299710506,1.69297
2019,rel_speed,255957,0.004469500736451826,135.4655631286473,9.441470343296336,136.933
2020,rel_speed,279126,0.0039623682494644,135.56511039097904,9.384247349750325,137.214
2021,rel_speed,301032,0.005129022828137872,135.6154502370713,9.267447029517202,137.199
2022,rel_speed,307637,0.004420794637836151,136.4326825223572,9.457471278794161,137.884
2023,rel_speed,315100,0.0031862900666455095,136.18629867460902,9.333524409508836,137.42
2024,rel_speed,334226,0.004365309700621735,136.35231626453344,9.313159507937913,137.756
2019,spin_rate,255957,0.011177658747367722,2169.2567120065114,342.217337534399,2220.535
2020,spin_rate,279126,0.010239103487313973,2158.030838522739,334.04793654079947,2209.18
2021,spin_rate,301032,0.009640171144595923,2170.8955368564048,327.8822351267234,2223.34
2022,spin_rate,307637,0.004456551065053944,2170.9400525099095,328.559047788937,2223.31
2023,spin_rate,315100,0.0032148524278006983,2176.1402273605718,338.6169190544515,2228.97
2024,spin_rate,334226,0.004368301688079323,2172.874944080826,354.6817301682598,2232.16
2019,induced_vert_break,255957,0.004469500736451826,27.683936244727974,23.873465181303523,32.5092
2020,induced_vert_break,279126,0.0039623682494644,27.933629188339005,23.63184396378269,31.968899999999998
2021,induced_vert_break,301032,0.005129022828137872,27.49630306221857,23.803783700223768,31.5976
2022,induced_vert_break,307637,0.009663987101681527,25.203964341372792,25.1378218569551,29.8247
2023,induced_vert_break,315100,0.004836559822278642,24.422977082429778,24.471929196809906,28.201700000000002
2024,induced_vert_break,334226,0.005298809787389371,22.801660753786226,24.41537115693126,26.5818
2019,horz_break,255957,0.004832843016600445,8.681744875085332,25.04244639550568,11.6868
2020,horz_break,279126,0.0042561423873089576,10.374233287414008,25.114870806623912,14.453399999999998
2021,horz_break,301032,0.005447925801908103,9.716923753295289,25.772723476367105,13.3017
2022,horz_break,307637,0.009663987101681527,10.129829637239714,26.20592380172629,13.6491
2023,horz_break,315100,0.004836559822278642,9.462114000752608,26.57994984854473,12.73265
2024,horz_break,334226,0.005298809787389371,8.41348211246635,26.27014301609656,12.2073
