alpha_pitcher,valid_year,metric_actual_rate,metric_constant_brier,metric_brier,metric_skill_margin,metric_pseudo_score,metric_auc,metric_logloss,metric_pred_mean,metric_pred_std
20,2022,0.5289204435249241,0.24916360794632167,0.24844570668470345,0.0007179012616182201,288.1244446311279,0.5390841170862533,0.6901546411032322,0.5360491816516794,0.053666847224979594
20,2023,0.49995723449750534,0.24999999817111176,0.25207355374224927,-0.002073555571137503,0.0,0.5219209421962093,0.6975184392103935,0.5361049834952332,0.04808811115465439
20,2024,0.4861049201797189,0.24980692675678798,0.25199660045411204,-0.0021896736973240627,0.0,0.5167357931157482,0.6973569046894231,0.5182986338968295,0.048289536411400026
50,2022,0.5289204435249241,0.24916360794632167,0.2482177679636794,0.000945839982642277,379.6059907938254,0.5388090487438689,0.6896152758016453,0.5343138663133922,0.04923885173957458
50,2023,0.49995723449750534,0.24999999817111176,0.2518178596495798,-0.001817861478468047,0.0,0.5221841195589952,0.6969581096266961,0.5355031279787785,0.04606210666343758
50,2024,0.4861049201797189,0.24980692675678798,0.251615512896331,-0.001808586139543017,0.0,0.5170977032869254,0.6965190894595873,0.5172165280672865,0.04552395328445664
100,2022,0.5289204435249241,0.24916360794632167,0.24806577488143733,0.0010978330648843404,440.60730775774084,0.5383734045592594,0.6892679172131432,0.5325257570669212,0.04505878694948285
100,2023,0.49995723449750534,0.24999999817111176,0.25157514136158565,-0.0015751431904738877,0.0,0.5225359563796205,0.6964353021519131,0.5348918256101513,0.04390725744810098
100,2024,0.4861049201797189,0.24980692675678798,0.25127477236295903,-0.0014678456061710532,0.0,0.5177782236920699,0.6957892301362578,0.51600910683277,0.04295206247361861
300,2022,0.5289204435249241,0.24916360794632167,0.24798499298626173,0.0011786149600599427,473.028533249469,0.5371845447308508,0.6890877244803347,0.5289533126980265,0.03732724217796425
300,2023,0.49995723449750534,0.24999999817111176,0.25113324074113563,-0.001133242570023868,0.0,0.5232520483460443,0.6954932532768059,0.5336920709908145,0.039010709703910317
300,2024,0.4861049201797189,0.24980692675678798,0.2506724071515236,-0.0008654803947356349,0.0,0.5192112659346195,0.6945267900669156,0.5131542285509637,0.037765079400910784
1000,2022,0.5289204435249241,0.24916360794632167,0.24820405886171057,0.0009595490846110999,385.10803905914685,0.5353372226804277,0.6895409526165768,0.5243317762534874,0.027707907053803087
1000,2023,0.49995723449750534,0.24999999817111176,0.2506611011555954,-0.000661102984483658,0.0,0.5239460890132575,0.6944963311438382,0.5321371057694358,0.030832736090443777
1000,2024,0.4861049201797189,0.24980692675678798,0.2500376285139109,-0.0002307017571229475,0.0,0.5208970125155316,0.693230153218182,0.5082443616673656,0.030359009756925872
