valid_year,hierarchy_level,group_count,row_count,median_sample_size,p10_sample_size,p90_sample_size,low_sample_group_rate_lt20,low_sample_group_rate_lt50,both_class_group_rate,validation_row_coverage,validation_unseen_row_rate
2022,pitcher,465,481500,570.0,40.0,2811.4,0.03225806451612903,0.11612903225806452,1.0,0.7112723863709833,0.2887276136290166
2022,pitcher_game,685,481500,181.0,26.0,2114.4,0.07445255474452554,0.21605839416058395,0.9985401459854014,0.6694413913493243,0.33055860865067566
2022,pitcher_count,5407,481500,34.0,3.0,233.40000000000055,0.38968004438690584,0.5838727575365267,0.9084520066580358,0.7078053274713907,0.2921946725286093
2022,pitcher_batter_hand,926,481500,272.0,20.5,1396.0,0.09503239740820735,0.20518358531317496,0.9946004319654428,0.7112723863709833,0.2887276136290166
2022,pitcher_base,3266,481500,43.0,5.0,353.0,0.3138395590936926,0.5422535211267606,0.9552969993876301,0.7011419473718239,0.2988580526281761
2022,pitcher_game_count,7693,481500,15.0,2.0,177.0,0.5581697647211751,0.7154556089951905,0.8470037696607305,0.6662289067045969,0.3337710932954031
2023,pitcher,560,728588,668.5,45.900000000000006,3185.2,0.026785714285714284,0.11071428571428571,1.0,0.7419855411872518,0.2580144588127482
2023,pitcher_game,875,728588,193.0,28.0,2533.6000000000004,0.05714285714285714,0.19657142857142856,0.9988571428571429,0.7079727115365034,0.29202728846349657
2023,pitcher_count,6542,728588,41.0,3.0,292.0,0.3549373280342403,0.5405074900642005,0.9125649648425558,0.7398839222075145,0.26011607779248547
2023,pitcher_batter_hand,1115,728588,342.0,23.0,1669.0,0.08878923766816144,0.19641255605381167,0.9973094170403587,0.7419855411872518,0.2580144588127482
2023,pitcher_base,3986,728588,51.0,6.0,447.5,0.2779729051680883,0.4942298043151029,0.9565980933266433,0.7370736177578658,0.2629263822421342
2023,pitcher_game_count,9937,728588,16.0,2.0,207.0,0.5455368823588608,0.7005132333702324,0.8469356948777297,0.7048325017818959,0.29516749821810406
2024,pitcher,648,976060,753.0,40.7,3867.5000000000036,0.032407407407407406,0.12037037037037036,0.9984567901234568,0.7180432887454784,0.2819567112545216
2024,pitcher_game,1028,976060,208.5,27.0,2815.7000000000007,0.054474708171206226,0.1877431906614786,0.9980544747081712,0.6949157222483008,0.30508427775169916
2024,pitcher_count,7532,976060,45.0,3.0,337.0,0.3434678704195433,0.5163303239511418,0.9137015400955921,0.7172701345524976,0.28272986544750245
2024,pitcher_batter_hand,1288,976060,373.5,21.0,1983.6,0.09316770186335403,0.19409937888198758,0.9968944099378882,0.7180432887454784,0.2819567112545216
2024,pitcher_base,4598,976060,56.5,6.0,509.0,0.2672901261418008,0.4708568943018704,0.9562853414528055,0.710102679610425,0.28989732038957505
2024,pitcher_game_count,11677,976060,16.0,2.0,233.0,0.5337843624218549,0.6899032285689818,0.8515885929605207,0.6934443624830873,0.3065556375169127
