candidate_id,candidate_type,weights,mean_auc,mean_brier,worst_skill_margin,mean_skill_margin,mean_pseudo_score,mean_prediction_std,auc_2022,auc_2023,auc_2024,pseudo_2022,pseudo_2023,pseudo_2024,skill_2022,skill_2023,skill_2024,pred_std_2023,delta_vs_v2_mean_auc,delta_vs_v2_mean_brier,delta_vs_v2_skill_2023,delta_vs_v2_pseudo_2024,selection_rule_a,selection_rule_b,selection_rule_c,meets_selection_rule,previous_signal_reconstruction_success_count,high_half_actual_rate_2023,low_half_actual_rate_2023,high_minus_low_actual_rate_2023
D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,single_model,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,0.5210465360723192,0.24973120514281236,-0.0005734039164422555,-7.436085140523814e-05,46.85072211795025,0.010559192707139961,0.5358209303340677,0.5154105549686989,0.5119081229141909,122.44085192078367,0.0,18.11131443306706,0.0003050780442460377,-0.0005734039164422555,4.5243317980503406e-05,0.014420885042770134,0.001600897828832215,-2.9656065981820134e-05,-5.373736558067499e-06,4.929541971481505,False,False,False,False,0,0.5115303470915504,0.48838402763070005,0.023146319460850384
blend2__A_v2_base__0.0__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__1.0,two_model_blend,A_v2_base:0.000;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:1.000,0.5210465360723192,0.24973120514281236,-0.0005734039164422555,-7.436085140523814e-05,46.85072211795025,0.010559192707139961,0.5358209303340677,0.5154105549686989,0.5119081229141909,122.44085192078367,0.0,18.11131443306706,0.0003050780442460377,-0.0005734039164422555,4.5243317980503406e-05,0.014420885042770134,0.001600897828832215,-2.9656065981820134e-05,-5.373736558067499e-06,4.929541971481505,False,False,False,False,0,0.5115303470915504,0.48838402763070005,0.023146319460850384
blend2__A_v2_base__0.1__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.9,two_model_blend,A_v2_base:0.100;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.900,0.5208854839897524,0.2497339632494762,-0.000572964097841494,-7.711895806907416e-05,45.685355565051104,0.01053795699899585,0.5355161434089366,0.515343544239011,0.5117967643213099,119.43137650018188,0.0,17.62469019497141,0.0002975795267078085,-0.000572964097841494,4.402769692646302e-05,0.014410449337317527,0.0014398457462654335,-2.689795931798411e-05,-4.933917957306022e-06,4.442917733385855,False,False,False,False,0,0.5113755773319323,0.4885387986510484,0.022836778680883907
blend2__A_v2_base__0.2__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.8,two_model_blend,A_v2_base:0.200;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.800,0.520749440058372,0.24973673348563488,-0.0005724137451606215,-7.988919422774465e-05,44.500333817525586,0.010515554176763094,0.5351977518637366,0.5153678217886911,0.5116827465226883,116.36321348768232,0.0,17.137787964894446,0.00028993478104819004,-0.0005724137451606215,4.281138142919749e-05,0.014399014435969453,0.0013038018148849861,-2.4127723159295122e-05,-4.383565276433465e-06,3.9560155033088904,False,False,False,False,0,0.511139349804094,0.488775028103159,0.022364321700935053
blend2__A_v2_base__0.3__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.7,two_model_blend,A_v2_base:0.300;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.700,0.520585032707832,0.2497395512792783,-0.0005718351686230527,-8.270698787117096e-05,43.29245187464576,0.010492095054800801,0.5348526321597002,0.5153364048234227,0.5115660611403732,113.22933757745147,0.0,16.648018046485785,0.00028212630276169826,-0.0005718351686230527,4.158790224784159e-05,0.014386814436957808,0.0011393944643449672,-2.1309929515878068e-05,-3.804988738864701e-06,3.4662455849002285,False,False,False,False,0,0.5111963702418482,0.48871800720092534,0.022478363040922822
blend2__A_v2_base__0.4__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.6,two_model_blend,A_v2_base:0.400;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.600,0.5204405683396094,0.24974242107133815,-0.0005712436415939159,-8.557677993101254e-05,42.06196939918622,0.010467626342877049,0.5345103854108055,0.5153653007927718,0.511446018815251,110.02903320543135,0.0,16.15687499212732,0.00027415230892310904,-0.0005712436415939159,4.0360992877769286e-05,0.014373908532958446,0.0009949300961223928,-1.844013745602724e-05,-3.213461709727916e-06,2.975102530541765,False,False,False,False,0,0.5112533906796022,0.48866098629869176,0.022592404380910425
B_tuned_base,single_model,B_tuned_base,0.520375678539629,0.2497461826788273,-0.0005889935297206661,-8.933838742017364e-05,42.92502740415301,0.010442039664796336,0.5346411809377425,0.5144933886451043,0.5119924660360401,110.47521567272616,0.0,18.29986653973288,0.0002752640332566447,-0.0005889935297206661,4.571433420350046e-05,0.014461256019859123,0.0009300402961419652,-1.4678529966866138e-05,-2.0963349836478073e-05,5.1180940781473225,False,False,False,False,0,0.5105039792119775,0.4894104038709047,0.021093575341072868
blend2__A_v2_base__0.0__B_tuned_base__1.0,two_model_blend,A_v2_base:0.000;B_tuned_base:1.000,0.520375678539629,0.2497461826788273,-0.0005889935297206661,-8.933838742017364e-05,42.92502740415301,0.010442039664796336,0.5346411809377425,0.5144933886451043,0.5119924660360401,110.47521567272616,0.0,18.29986653973288,0.0002752640332566447,-0.0005889935297206661,4.571433420350046e-05,0.014461256019859123,0.0009300402961419652,-1.4678529966866138e-05,-2.0963349836478073e-05,5.1180940781473225,False,False,False,False,0,0.5105039792119775,0.4894104038709047,0.021093575341072868
blend2__B_tuned_base__1.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.0,two_model_blend,B_tuned_base:1.000;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.000,0.520375678539629,0.2497461826788273,-0.0005889935297206661,-8.933838742017364e-05,42.92502740415301,0.010442039664796336,0.5346411809377425,0.5144933886451043,0.5119924660360401,110.47521567272616,0.0,18.29986653973288,0.0002752640332566447,-0.0005889935297206661,4.571433420350046e-05,0.014461256019859123,0.0009300402961419652,-1.4678529966866138e-05,-2.0963349836478073e-05,5.1180940781473225,False,False,False,False,0,0.5105039792119775,0.4894104038709047,0.021093575341072868
blend2__B_tuned_base__0.9__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.1,two_model_blend,B_tuned_base:0.900;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.100,0.5203471512397116,0.24974634785253005,-0.0005851981117432625,-8.950356112293519e-05,42.351257401192186,0.010440386089227607,0.5344648545487709,0.514701141488267,0.5118754576820972,109.07426993455307,0.0,17.97950226902348,0.00027177338631004244,-0.0005851981117432625,4.491404206441452e-05,0.014456541609407618,0.0009015129962246515,-1.451335626412309e-05,-1.7167931859074503e-05,4.797729807437925,False,False,False,False,0,0.5105121249887996,0.48940225802772847,0.021109866961071144
